NAME,FED_RSSD,CITY
"Bank of Hillsboro, National Association",659341,Hillsboro
FIRST COMMERCIAL BANK,2948058,Jackson
Northeast Bank,468806,Portland
Marine Bank & Trust Company,2587916,Vero Beach
Commercial Bank - Ithaca,513340,Ithaca
Fortifi Bank,111942,Berlin
St. Landry Bank and Trust Company,885430,Opelousas
Tri-County Bank,695349,Brown City
1NB Bank,614948,Carlyle
Savers Co-operative Bank,1002373,Southbridge
The First National Bank of Pandora,571920,Pandora
"The Peoples Bank, Biloxi, Mississippi",870539,Biloxi
FortuneBank,3384372,Arnold
Cornerstone Community Bank,1478231,Grafton
"First Jackson Bank, Inc.",248633,Stevenson
HomeBank Texas,522669,Seagoville
Bank Independent,539032,Sheffield
First Community Bank - Lexington,2328137,Lexington
Watertown Savings Bank - Watertown,886204,Watertown
OSB Community Bank,725077,Ottawa
First Harrison Bank,716374,Corydon
Level One Bank,3612525,Farmington Hills
Central Bank - Houston,31255,Houston
Community Partners Savings Bank,441078,Salem
"Clay County Bank, Inc.",832528,Clay
Studio Bank,5205819,Nashville
Industrial Bank,536527,Washington
Brookline  Bank,782306,Brookline
The National Grand Bank of Marblehead,863607,Marblehead
Kentucky Farmers Bank Corporation,683814,Catlettsburg
First Financial Bank - Abilene,470050,Abilene
Generations Bank - Rogers,329345,Rogers
American Bank of Freedom,568359,Wellsville
Midwest Community Bank,607333,Freeport
Farmers State Bank - Marion,1006148,Marion
"First Hope Bank, A National Banking Association",434203,Hope
Community State Bank of Orbisonia,121914,Orbisonia
Lincoln FSB of Nebraska,529275,Lincoln
Starion Bank,2009605,Bismarck
"BankWest, Inc.",540551,Pierre
Abacus Federal Savings Bank,762773,New York
First State Bank of Bloomington,453839,Bloomington
Triumph Bank,3395293,Memphis
Legends Bank - Clarksville,2745426,Clarksville
Commerce Bank,601050,Kansas City
Oostburg State Bank,248745,Oostburg
First Farmers Bank & Trust Co.,139843,Converse
Dean Co-operative Bank,271275,Franklin
MidAmerica National Bank,510938,Canton
"Clear Fork Bank, National Association",340751,Albany
Bankesb,859002,Easthampton
Chelsea Groton Bank,345309,Groton
First State Bank - Eastpointe,113740,Eastpointe
Franklin Bank & Trust Company,493844,Franklin
William Penn Bank,664176,Levittown
South Georgia Bank,995571,Glennville
Grand River Bank,3812147,Grandville
Minnwest Bank,302656,Redwood Falls
Woori America Bank,384018,New York
Somerville Bank,411624,Eaton
F & M Bank,163857,Edmond
The Fisher National Bank,739832,Fisher
Northwest Bank - Warren,1002878,Warren
Salisbury Bank and Trust Company,821906,Lakeville
1st State Bank,3223305,Saginaw
Southern Hills Community Bank,352370,Leesburg
German American Bank,37640,Jasper
Bank of Hope,671464,Los Angeles
NBKC Bank,2747587,Leawood
Rocky Mountain Bank,663058,Billings
Western Bank,199463,Lubbock
National Bank of St. Anne,760340,St. Anne
ANB Bank,828651,Denver
Reliance Savings Bank,743679,Altoona
Cattle Bank and Trust,529659,Seward
The Farmers and Merchants National Bank of Nashville,513546,Nashville
Thomaston Savings Bank,120609,Thomaston
Southern Bank and Trust Company,717924,Mount Olive
"American Bank, National Association - Corpus Christi",807955,Corpus Christi
"Axiom Bank, National Association",408875,Maitland
Community National Bank & Trust,923752,Chanute
Embassy Bank for the Lehigh Valley,3068579,Bethlehem
The Greenwood's State Bank,576644,Lake Mills
Community Bank - Carmichaels,371924,Carmichaels
Middletown Valley Bank,41825,Middletown
Geddes Federal Savings and Loan Association,451273,Syracuse
The National Bank of Middlebury,173306,Middlebury
Northmark Bank,1161216,North Andover
The Bank of Kaukauna,380944,Kaukauna
United Southern Bank - Hopkinsville,110945,Hopkinsville
Great Southern Bank - Reeds Spring,572374,Reeds Spring
The American National Bank of Texas,599764,Terrell
Five Points Bank,554857,Grand Island
Colony Bank,491934,Fitzgerald
Merchants Bank of Indiana,963945,Carmel
East West Bank,197478,Pasadena
Mahopac Bank,521804,Mahopac
Kaw Valley State Bank and Trust Company,368951,Wamego
Boston Private Bank & Trust Company,964700,Boston
HomeTrust Bank,212577,Asheville
Timberland Bank,294779,Hoquiam
First Federal Savings and Loan Bank,198073,Olathe
Neighborhood National Bank,705556,Mora
The Cecilian Bank,982142,Cecilia
Gate City Bank,657271,Fargo
Central Bank - Storm Lake,546544,Storm Lake
SSB Bank,277277,Pittsburgh
"Presidential Bank, FSB",538473,Bethesda
Regional Missouri Bank,579140,Marceline
U.S. Bank National Association,504713,Cincinnati
River Falls State Bank,955753,River Falls
CIBC Bank USA,1842065,Chicago
"Flushing Savings Bank, FSB",959304,Flushing
Anchor Savings Association,99376,Hillsboro
"First Community Bank of Mercer County, Inc.",2353595,Princeton
"The Exchange Bank, Attalla, Alabama",672537,Attalla
Ankeny State Bank,790543,Ankeny
County National Bank - Hillsboro,659341,Hillsboro
"Commerce Bank, National Association",601050,Kansas City
Alliance Bank - New Ulm,166652,New Ulm
Central Illinois Bank,340742,Champaign
People's Bank,613307,Bridgeport
"Bank Midwest, Minnesota Iowa, National Association",45551,Fairmont
First Farmers National Bank,139843,Converse
Eastern Savings Bank,128904,Lynn
PCB Bank,3212402,Los Angeles
Hancock Bank & Trust Company,545846,Hawesville
"The Peoples Bank and Trust Company of Pointe Coupee Parish, Louisiana",8033,New Roads
Susser Bank,965789,Dallas
"Citizens Bank & Trust, Inc.",1163283,Trenton
Citizens State Bank - Hudson,867856,Hudson
SmartBank,3532641,Pigeon Forge
The Neffs National Bank,144913,Neffs
Jackson County Bank,884442,Seymour
Eastern Bank,128904,Boston
First Bank Chicago,804338,Highland Park
Devon Bank,347639,Chicago
CBI Bank & Trust,830542,Muscatine
Reading Co-operative Bank,1008674,Reading
Ridgewood Savings Bank,859712,Ridgewood
"American Bank, National Association - Waco",307361,Waco
Bank of Franklin County,2913702,Washington
Frontier Bank,33857,Omaha
Palmetto State Bank,277820,Hampton
Altoona First Savings Bank,777870,Altoona
Green Belt Bank & Trust,803649,Iowa Falls
First Northern Bank of Dixon,783161,Dixon
Bridgewater Bank,3378773,Saint Louis Park
Unison Bank,676151,Jamestown
First Federal Bank of Kansas City,950178,Lees Summit
Bath State Bank,308340,Bath
Royal Savings Bank,649874,Chicago
"Town Bank, National Association",2693264,Hartland
Grand Savings Bank,732178,Grove
First County Bank,958204,Stamford
Canton Co-operative Bank,379470,Canton
Red River Bank,2743244,Alexandria
Rondout Savings Bank,425108,Kingston
Bank of Springfield,248240,Springfield
"Santander Bank, N.A.",722777,Wilmington
FMS Bank,257756,Fort Morgan
Commercial Banking Company,381932,Valdosta
Bank of Blue Valley,680354,Overland Park
Gorham Savings Bank,241607,Gorham
The Shelby State Bank - Shelby,961343,Shelby
Citizen's Bank,63733,Lafayette
"Nationsbank of North Carolina, National Association",480228,Charlotte
"First Midwest Bank/Illinois, National Association - Joliet",1007846,Joliet
Southeast National Bank of Moline,955548,Moline
Banco Popular de Puerto Rico - San Juan,940311,San Juan
"UMB Bank, National Association - Kansas City",936855,Kansas City
Bank of the Ozarks wca,107244,Little Rock
Manhattan National Bank,481177,Manhattan
Whitinsville Savings Bank,709602,Whitinsville
BNC National Bank - Minneapolis,2358769,Minneapolis
"Superior Bank, National Association",4262534,Tampa
Citizens Bank of Kansas,1014853,Kingman
First National Bank - Wichita Falls,375566,Wichita Falls
United Southern Bank - Umatilla,327435,Umatilla
The First National Bank of Long Island,837000,Glen Head
Denmark State Bank,222446,Denmark
United Community Bank - Chatham,439338,Chatham
South Atlantic Bank,3637247,Myrtle Beach
The Merchants National Bank,701222,Hillsboro
Minster Bank,604024,Minster
First Bank - Waverly,376442,Waverly
Cornerstone Bank - Fargo,879457,Fargo
BOM Bank,684455,Natchitoches
Open Bank,3357219,Los Angeles
Farmers Bank - Greenwood,325141,Greenwood
Union Bank - Greenville,2744782,Greenville
Lumbee Guaranty Bank,651121,Pembroke
Nebraska Bank of Commerce,3614846,Lincoln
"HSBC Bank USA, National Association",413208,Tysons
Blue Foundry Bank,797775,Rutherford
Security National Bank of South Dakota,2529176,Dakota Dunes
"BTH Bank, National Association",24668,Quitman
CTBC Bank Corp. (USA),996260,Los Angeles
United Community Bank - Raceland,90337,Raceland
First Community Bank - Corpus Christi,339456,Corpus Christi
Equity Bank,139656,Andover
Harleysville Bank,139478,Harleysville
Ameriserv Financial Bank,928618,Johnstown
Norway Savings Bank,289702,Norway
Home Federal Savings and Loan Association of Grand Island,317379,Grand Island
First Bank - Burkburnett,239659,Burkburnett
"The Bank and Trust, S.S.B.",623454,Del Rio
Bank of Sun Prairie,124344,Sun Prairie
BankFirst Financial Services,914648,Columbus
Community National Bank - Midland,293053,Midland
"TBK BANK, SSB",766164,Dallas
Access Bank,3614837,Omaha
The Old Point National Bank of Phoebus,186221,Hampton
"Intrust Bank, National Association",557858,Wichita
Sooner State Bank,534756,Tuttle
Seacoast National Bank,34537,Stuart
"Park Bank, National Association",518354,Holmen
Goldman Sachs Bank USA,2182786,New York
First National Bank and Trust Company of Weatherford,614368,Weatherford
Wayne Bank,59316,Honesdale
Morton Community Bank,825146,Morton
"American Commercial Bank & Trust, National Association",856243,Ottawa
Connections Bank,646556,Platte City
Bank of the Pacific,307679,Aberdeen
Customers Bank,2354985,Malvern
Evergreen Federal Bank,55970,Grants Pass
F&M Bank - Clarksville,741330,Clarksville
Citizens Alliance Bank,279954,Clara City
The Peoples Bank of Georgia,272030,Talbotton
Premier Valley Bank,3028902,Fresno
First Bank Richmond,419675,Richmond
Standard Bank,811279,Murrysville
Bedford Loan & Deposit Bank,696047,Bedford
Kearny Bank,633378,Kearny
Sturdy Savings Bank,391977,Stone Harbor
Peoples First Savings Bank,363778,Mason
Luminate Bank,310754,Minneapolis
First Financial Bank - Cincinnati,165628,Cincinnati
First Federal Savings Bank - Evansville,613679,Evansville
"Forcht Bank, National Association",3141726,Lexington
Wallkill Valley Federal Savings and Loan Association,7072,Wallkill
First Federal Savings Bank - Ottawa,771878,Ottawa
Fidelity Co-operative Bank,933377,Leominster
"Liberty Savings Bank, F.S.B.",839572,Wilmington
Bath Savings Institution,433505,Bath
The Fidelity Deposit and Discount Bank,1007819,Dunmore
The City National Bank of Sulphur Springs,596062,Sulphur Springs
"Cypress Bank, SSB",729178,Pittsburg
Genesee Regional Bank,852704,Rochester
Fairfield Federal Savings and Loan Association of Lancaster,666974,Lancaster
The First National Bank of Lawrence County at Walnut Ridge,799948,Walnut Ridge
Athol Savings Bank,408307,Athol
Security Bank,20053,New Auburn
First National Bank and Trust Company of Ardmore,984258,Ardmore
North Dallas Bank & Trust Co.,490450,Dallas
"Resource Bank, National Association",235530,Dekalb
Southern States Bank,3629420,Anniston
Forward Bank,313577,Marshfield
InFirst Bank,904171,Indiana
Exchange Bank - Milledgeville,613839,Milledgeville
The Savings Bank - Circleville,578116,Circleville
Piedmont Federal Savings Bank,864471,Winston Salem
Hiawatha National Bank,505550,Hager City
The First National Bank of Hartford,112332,Hartford
The Hometown Savings Bank,697147,Terre Haute
TriStar Bank,2871099,Dickson
Vista Bank,645465,Dallas
SouthPoint Bank,3386536,Birmingham
The Muncy Bank and Trust Company,141211,Muncy
Anstaff Bank,261940,Green Forest
Bogota Savings Bank,927479,Teaneck
Commerce State Bank,3366239,West Bend
Catlin Bank,307932,Catlin
Bank Midwest,45551,Spirit Lake
Tradition Capital Bank,3344321,Wayzata
Scott State Bank,443634,Bethany
Oakstar Bank,3374412,Springfield
Laona State Bank,178150,Laona
First National Bank of Central Texas,369659,Waco
Farmers Bank & Trust Company,12946,Magnolia
Fulton Savings Bank,900502,Fulton
Austin Capital Bank SSB,3347911,Austin
First Bank - Southern Pines,216922,Southern Pines
Minnesota National Bank,799751,Sauk Centre
Central State Bank - Calera,353238,Calera
"Petefish, Skiles & Co.",602543,Virginia
The Bank of Fayette County,466754,Piperton
Union Federal Savings and Loan Association,656779,Kewanee
1st Summit Bank,526519,Johnstown
Progressive National Bank,675855,Mansfield
The Union Bank Company,780218,Columbus Grove
FirstBank Puerto Rico,510871,Santurce
FirstOak Bank,916857,Independence
Mechanics Bank - Mansfield,943675,Mansfield
Western Commerce Bank,169756,Carlsbad
Eureka Homestead,794475,Metairie
American Bank - Covington,597452,Covington
First Community Bank of Central Alabama,3034257,Wetumpka
Foxboro Federal Savings,652977,Foxboro
Rayne State Bank & Trust Company,900034,Rayne
United Bank of Michigan,150044,Grand Rapids
Bank of Odessa,819453,Odessa
mBank,132554,Manistique
The Old Fort Banking Company,564324,Old Fort
"The Washington Trust Company, of Westerly",816603,Westerly
The First Bank,2385514,Hattiesburg
The Friendship State Bank,427241,Friendship
Southern Heritage Bank,935559,Jonesville
Farmers Bank - Buhl,307062,Buhl
Home Federal Bank of Tennessee,105473,Knoxville
Cross Bank,989347,Wynne
Westmoreland Federal Savings and Loan Association,188177,Latrobe
Priority Bank,2059990,Fayetteville
Fleetwood Bank,551016,Fleetwood
South Georgia Banking Company,767732,Omega
Citizens Bank and Trust Company,991621,Blackstone
The Milford Bank,258306,Milford
Cathay Bank,595869,Los Angeles
"Incommons Bank, N.A.",414858,Mexia
Kish Bank,600419,Belleville
The Bank,2505460,Jennings
KeyBank National Association,280110,Cleveland
Elmira Savings Bank,861304,Elmira
Synergy Bank,2748502,Houma
West Suburban Bank,375034,Lombard
First Dakota National Bank,441256,Yankton
SouthEast Bank,3110197,Farragut
"Pioneer Bank, SSB",3595637,Austin
The Campbell & Fetter Bank,398248,Kendallville
West Michigan Community Bank,715340,Hudsonville
Bank of Bird-in-Hand,4536084,Bird In Hand
North Easton Savings Bank,527600,South Easton
"Fidelity Bank, National Association",762474,Wichita
The Farmers & Merchants State Bank,214414,Archbold
Olympia Federal Savings and Loan Association,550279,Olympia
THE VINTON COUNTY NATIONAL BANK,754826,Mc Arthur
FNB Picayune Bank,568939,Picayune
Citizens Bank & Trust,3174920,Guntersville
First Security Bank - Batesville,718145,Batesville
First Federal Bank of Louisiana,517674,Lake Charles
The Farmers State Bank,370721,New Madison
Merchants and Manufacturers Bank,1008432,Joliet
"People's United Bank, National Association",613307,Bridgeport
First State Bank Nebraska,499453,Lincoln
"Intercredit Bank, National Association",44433,Coral Gables
Bank of Dudley,546535,Dudley
First Central State Bank,639549,Dewitt
Chesapeake Bank,214722,Kilmarnock
Platte Valley Bank,580155,Torrington
SENB Bank,955548,Moline
Home Bank SB,1015270,Martinsville
Colonial Federal Savings Bank,117074,Quincy
North Valley Bank,783910,Zanesville
Elizabethton Federal Savings Bank,17978,Elizabethton
GrandSouth Bank,2728661,Greenville
Peoples Bank of the South,277736,La Follette
The Central Trust Bank,853952,Jefferson City
Andrew Johnson Bank,361439,Greeneville
Bank of the James,2787770,Lynchburg
"Webster Bank, National Association",761806,Stamford
Community National Bank & Trust of Texas,738769,Corsicana
Enterprise Bank and Trust Company,1356768,Lowell
First Bank & Trust - Brookings,77851,Brookings
First Reliance Bank,2839790,Florence
Franklin Savings Bank,491402,Franklin
"Premier Bank, Inc.",2692753,Huntington
Concordia Bank & Trust Company,819556,Vidalia
Toyota Financial Savings Bank,3287660,Henderson
Southwest Missouri Bank,760854,Carthage
"Bank of Lexington, Inc.",3410141,Lexington
"Sunflower Bank, National Association",474759,Denver
Round Top State Bank,665865,Round Top
United Bank - Atmore,994435,Atmore
Border Bank - Greenbush,977951,Greenbush
Citizens National Bank,717737,Sevierville
Umpqua Bank,143662,Roseburg
United Bank - Zebulon,37435,Zebulon
Exchange Bank of Missouri,686459,Fayette
"Peoples Bank of  Kentucky, Inc.",995517,Flemingsburg
The Farmers National Bank of Emlenton,119528,Emlenton
Community State Bank - Ankeny,790543,Ankeny
Herring Bank,610164,Amarillo
Crossbridge Community Bank,465672,Tomahawk
The Yellowstone Bank,680457,Laurel
Oak Bank,2857600,Fitchburg
Lamar National Bank,2161,Paris
Community First Bank - New Iberia,2775179,New Iberia
Texas Community Bank,528960,Laredo
The Farmers Bank of Milton,265340,Milton
People's Bank of Commerce,2661861,Medford
"TrustTexas Bank, SSB",539872,Cuero
Johnson Bank,58243,Racine
First Southern National Bank,702612,Lancaster
Citizens Bank - Butler,97457,Butler
NobleBank & Trust,3385744,Anniston
Wisconsin River Bank,2164111,Sauk City
The Cooperative Bank,714978,Roslindale
Cleveland State Bank,48440,Cleveland
Fidelity Bank,193247,West Des Moines
Farmers State Bank - Lagrange,113441,Lagrange
North State Bank,2915461,Raleigh
The Richwood Banking Company,150727,Richwood
Abington Bank,61476,Abington
Progressive Bank,1007154,Monroe
SKYLINE NATIONAL BANK,90328,Independence
Magnolia State Bank - Eastman,204237,Eastman
Citizens 1st Bank,869663,Tyler
First Federal Savings and Loan Association - Pascagoula,90177,Pascagoula
Cape Ann Savings Bank,627108,Gloucester
JD Bank,980531,Jennings
Bank of Zachary,860334,Zachary
Community Bank of the Chesapeake,697978,Waldorf
Farmers National Bank,933041,Prophetstown
Hebron Savings Bank,780722,Hebron
Morris Bank,423739,Dublin
Collins State Bank,219044,Collins
The FNB Community Bank,137447,Vandalia
Seamen's Bank,418100,Provincetown
Hickory Point Bank and Trust,550635,Decatur
Axos Bank,2917317,San Diego
"CNB Bank, Inc.",944627,Berkeley Springs
"CIT Bank, National Association",3918898,Pasadena
"Legend Bank, N.A.",100357,Bowie
"Summit Community Bank, Inc",2372774,Moorefield
Home Savings Bank,255873,Madison
Community First Bank of Indiana,3165357,Kokomo
Ocean Bank,663834,Miami
Community Bank Mankato,835257,Vernon Center
OneUnited Bank,935308,Boston
Citizens and Farmers Bank,928421,West Point
The First National Bank of Bellevue,243414,Bellevue
Commercial Bank and Trust of PA,945026,Latrobe
"Capital One, National Association",112837,Mclean
The Lyons National Bank,323204,Lyons
First State Bank of Campbell Hill,698546,Campbell Hill
Cadence Bank,606046,Tupelo
Bankhometown,1004470,Oxford
West Alabama Bank & Trust,501132,Reform
Town & Country Bank,487357,Salem
Equitable Savings and Loan Association,206473,Sterling
HTLF Bank,3465226,Denver
Columbia State Bank,2078290,Tacoma
Century Bank,58636,Lucedale
Fall River Five Cents Savings Bank,833404,Fall River
Ballston Spa National Bank,505,Ballston Spa
Marblehead Bank,816304,Marblehead
Dundee Bank,397559,Omaha
Texas First Bank,473266,Texas City
Security State Bank & Trust,247355,Fredericksburg
Maspeth Federal Savings and Loan Association,29878,Maspeth
Winchester Co-operative Bank,268976,Winchester
Bank of Colorado,255659,Fort Collins
"Black Hills Community Bank, N.A.",3636428,Rapid City
CFSBANK,100777,Charleroi
Cottonport Bank,473930,Cottonport
Greenfield Co-operative Bank,326979,Greenfield
First Bank - St. Louis,169653,St. Louis
"Florida Capital Bank, National Association",188430,Jacksonville
Southeastern Bank - Darien,210238,Darien
Citizens Federal Savings Bank,864378,Leavenworth
"Auburn Savings Bank, FSB",229173,Auburn
Stock Yards Bank & Trust Company,317342,Louisville
First Independence Bank,254849,Detroit
Citizens Tri-County Bank,162337,Dunlap
Liberty Bank - Middletown,587800,Middletown
Saco & Biddeford Savings Institution,339607,Saco
Haverhill Bank,109574,Haverhill
Stillman BancCorp N.A.,407645,Stillman Valley
Prosperity Bank,664756,El Campo
Farmers and Miners Bank,658924,Pennington Gap
LCNB National Bank,785923,Lebanon
Huntington Federal Savings Bank,609476,Huntington
Penn Community Bank,328777,Doylestown
Illinois Bank & Trust,2339900,Rockford
Main Street Bank Corp. - Wheeling,3034695,Wheeling
FBT Bank & Mortgage,314444,Fordyce
Maine Community Bank,499501,Biddeford
The State Bank and Trust Company,614313,Defiance
FNBC Bank & Trust,608844,La Grange
"Armed Forces Bank, National Association",983457,Fort Leavenworth
Farmers & Merchants Savings Bank,863746,Manchester
American Bank & Trust,275358,Sioux Falls
State Bank of Southern Utah,656470,Cedar City
River Bank & Trust,3437157,Prattville
Silver Lake Bank,326054,Topeka
1st Constitution Bank,1412619,Cranbury
The Fayette County National Bank of Fayetteville,488420,Fayetteville
First National Bank - Paragould,42448,Paragould
Landmark Bank,535034,Clinton
Union Savings and Loan Association,677970,Connersville
First National Bank of Scotia,472616,Scotia
WOODTRUST BANK,833749,Wisconsin Rapids
ChoiceOne Bank,324340,Sparta
Regent Bank,309655,Tulsa
Columbia Bank,174572,Fair Lawn
First Carolina Bank,2963266,Rocky Mount
First Midwest Bank of Dexter,770853,Dexter
The Dart Bank,47247,Mason
Guaranty Bank - Springfield,3804535,Springfield
Pinnacle Bank - Nashville,2925666,Nashville
Glens Falls National Bank and Trust Company,866000,Glens Falls
Germantown Trust & Savings Bank,830748,Breese
Apollo Trust Company,368522,Apollo
Brighton Bank,227656,Brighton
The First Bank and Trust Company,223322,Lebanon
Florence Bank,279105,Florence
Farmers State Bank - Waterloo,840747,Waterloo
"Calvin B. Taylor Banking Company of Berlin, Maryland",39327,Berlin
"Hancock County Savings Bank, F.S.B.",888271,Chester
Saratoga National Bank and Trust,1211371,Saratoga Springs
First Savings Bank of Hegewisch,483274,Chicago
Bank of New Hampshire,265407,Laconia
Deerwood Bank,314257,Waite Park
Montgomery Bank,613558,Sikeston
Republic Bank & Trust Company,316840,Louisville
Amarillo National Bank,353555,Amarillo
Bar Harbor Bank & Trust,522605,Bar Harbor
The First National Bank of McGregor,895055,Mc Gregor
First Arkansas Bank and Trust,466240,Jacksonville
Sturgis Bank & Trust Company,366078,Sturgis
First National Bank of Bosque County,198961,Valley Mills
Shoreham Bank,724904,Warwick
Northfield Bank,28013,Staten Island
Cincinnati Federal,66677,Cincinnati
The Miners National Bank of Eveleth,43856,Eveleth
All America Bank,25357,Oklahoma City
Manufacturers Bank & Trust Company,215345,Forest City
Premier Bank National Association,860259,Omaha
Intercity State Bank,1016941,Schofield
Clear Mountain Bank,886624,Bruceton Mills
Hills Bank and Trust Company,731247,Hills
"Extraco Banks, National Association",537560,Temple
Belmont Savings Bank,72678,Bellaire
Lake Area Bank,987053,Lindstrom
"Tempo Bank, A Federal Savings Bank",415770,Trenton
First Community Bank - Bluefield,2353595,Bluefield
First Fidelity Bank,106359,Oklahoma City
Ohnward Bank & Trust,761543,Cascade
First Horizon Bank,485559,Memphis
Citizens State Bank - Cadott,149150,Cadott
HarborOne Bank,40499,Brockton
First Bank of Manhattan,238139,Manhattan
Bank of Frankewing,166531,Frankewing
Bank of England,244149,England
Macatawa Bank,2634351,Holland
The Genoa Banking Company,504311,Genoa
Tri Counties Bank,100562,Chico
Citizens Bank Minnesota,874050,New Ulm
Fremont Bank,739560,Fremont
Diamond Bank,27847,Murfreesboro
Middlesex Savings Bank,888002,Natick
Stockmens Bank,982553,Colorado Springs
Farmers and Merchants Bank - Laotto,372640,Laotto
American Riviera Bank,3388482,Santa Barbara
North Shore Trust and Savings,775773,Waukegan
Consumers National Bank,477321,Minerva
Community Bank and Trust,957757,Neosho
Ciera Bank,327855,Graham
First Security Bank and Trust Company,377850,Oklahoma City
First Service Bank,458544,Greenbrier
First Bank - Clewiston,131436,Clewiston
The National Bank of Indianapolis,2132941,Indianapolis
The Cortland Savings and Banking Company,846619,Cortland
"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",653611,Jonestown
Mid Penn Bank,786612,Millersburg
Citizens Bank - Elizabethton,778738,Elizabethton
Greenville National Bank,295011,Greenville
The First National Bank of Leesport,678717,Leesport
Southeastern Bank - Folkston,210238,Folkston
"Bank of America, National Association - Charlotte",480228,Charlotte
First National Bank of Madison County,547840,Anderson
Lee Bank - Lee,790703,Lee
"Westchester Bank, National Association",413208,New Rochelle
Carroll Bank and Trust,541857,Huntingdon
Texas National Bank,497954,Mercedes
Amalgamated Bank,661308,New York
Border Bank - Fargo,977951,Fargo
KS StateBank,160959,Manhattan
Guardian Bank,2989006,Valdosta
Guaranty Bank and Trust Company - New Roads,289739,New Roads
SULLIVAN BANK,436953,Sullivan
Bank Rhode Island,2434113,Providence
Gateway First Bank,3851427,Jenks
The Citizens Bank - Batesville,856748,Batesville
United Bank & Trust,990352,Marysville
United Bank of Iowa,738040,Ida Grove
CBL State Savings Bank,851172,Greer
Capitol Federal Savings Bank,968070,Topeka
Renasant Bank,749242,Tupelo
"Waterford Bank, N.A.",3588424,Toledo
First Bank - Hamilton,3401970,Hamilton
Ozark Bank,882952,Ozark
First Federal Savings and Loan Association of McMinnville,90579,Mcminnville
The Bank of Marion,858528,Marion
"KS Bank, Inc.",416674,Smithfield
First Bank - Dalton,2349459,Dalton
The North Salem State Bank,947749,North Salem
Hometown Bank of Pennsylvania,3594087,Bedford
Jersey State Bank,482446,Jerseyville
Murphy-Wall State Bank and Trust Company,478140,Pinckneyville
Community Bank of Trenton,255547,Trenton
Lone Star National Bank,842460,Pharr
First Bank & Trust - Lubbock,294564,Lubbock
Peoples Savings Bank,2732565,Indianola
Old Missouri Bank,2785646,Springfield
First Farmers and Merchants Bank,150035,Columbia
The North Side Bank and Trust Company,615217,Cincinnati
Wakefield Co-operative Bank,330873,Wakefield
Hoyne Savings Bank,447070,Chicago
United Cumberland Bank,425818,Whitley City
The Luzerne Bank,501815,Luzerne
Bluestone Bank,699105,Raynham
"Planters Bank, Inc.",2497181,Hopkinsville
Stoughton Co-operative Bank,164975,Stoughton
Heartland Bank,853112,Whitehall
Bravera Bank,971959,Dickinson
Fidelity Bank & Trust,939249,Dubuque
Alliance Bank - Cape Girardeau,2619714,Cape Girardeau
Flint Community Bank,3341393,Albany
Settlers Bank - Windsor,3625664,Windsor
Silicon Valley Bank,802866,Santa Clara
Powell Valley National Bank,31826,Jonesville
BankIowa - Cedar Rapids,737548,Cedar Rapids
Commonwealth Bank and Trust Company,189044,Louisville
The Fidelity Bank,584920,Fuquay Varina
Bank of Holly Springs,835743,Holly Springs
Oconee State Bank,573036,Watkinsville
Focus Bank,498148,Charleston
Merchants & Marine Bank,94139,Pascagoula
Bradesco Bank,725732,Coral Gables
Hilltop National Bank,1454,Casper
"Desjardins Bank, National Association",1940747,Hallandale
Somerset Trust Company,212522,Somerset
Pioneer Bank & Trust,65559,Belle Fourche
RCB Bank,945053,Claremore
City Bank,575254,Lubbock
Grundy Bank,715144,Morris
Independence Bank of Kentucky,648242,Owensboro
F&M Bank - Washington,510330,Washington
"NEXTIER BANK, NATIONAL ASSOCIATION",18827,Kittanning
Badger Bank,846945,Fort Atkinson
INSOUTH Bank,329550,Brownsville
Lee Bank - Lee,790703,Lee
Frontier Bank of Texas,3472046,Elgin
Citizens Bank - Mukwonago,783844,Mukwonago
"Carthage Savings and Loan, National Association",900678,Carthage
"Fifth Third Bank, National Association",723112,Cincinnati
One American Bank,95051,Centerville
West Pointe Bank,2371816,Oshkosh
"Farmers State Bank of Alto Pass, Ill.",856346,Alto Pass
42 North Private Bank,541307,Canton
Premier Bank - Dubuque,2687133,Dubuque
Arthur State Bank,591320,Union
The Bank of Commerce,324863,Ammon
First Texoma National Bank,388155,Durant
Envision Bank,332402,Randolph
First State Bank - Athens,264455,Athens
Prairie State Bank and Trust,1222948,Springfield
Bank of Yazoo City,118736,Yazoo City
Lindell Bank & Trust Company,185859,St. Louis
First Security Bank - Searcy,673440,Searcy
Tompkins Community Bank,433608,Ithaca
Mars Bank,978622,Mars
First Hawaiian Bank,980661,Honolulu
Mountain Commerce Bank,1016231,Knoxville
United Community Bank - Greenville,1017939,Greenville
Community Bank of Marshall,706656,Marshall
Alliance Bank Central Texas,601658,Woodway
Orrstown Bank,342410,Shippensburg
"Amerant Bank, National Association",83638,Coral Gables
BCB Community Bank,2954059,Bayonne
Adirondack Bank,101671,Utica
Carter Bank & Trust,3476192,Martinsville
VALOR BANK,129358,Edmond
DeMotte State Bank,539340,Demotte
The Peoples Bank - Iva,285928,Iva
"Spirit of Texas Bank, SSB",260868,College Station
"Citizens State Bank of New Castle, Indiana",1000641,New Castle
Community State Bank of Missouri,825548,Bowling Green
"CFBank, National Association",767974,Columbus
Liberty Bank Minnesota,1387203,Saint Cloud
CrossFirst Bank,3594005,Leawood
